applicant_id,stated_monthly_income,documented_monthly_income,loan_amount,employment_status,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,rule_based_score,rule_based_decision,actual_outcome,days_to_default
APP-0000,3683.0,3462.0,2000,employed,3084.0,False,True,1927.0,3337.0,1,67.7,flagged_for_review,repaid,
APP-0001,2011.0,1880.0,1500,unemployed,1525.0,False,True,776.0,1844.0,2,57.3,flagged_for_review,repaid,
APP-0002,820.0,201.0,1500,self_employed,4091.0,False,True,145.0,180.0,2,30.9,denied,repaid,
APP-0003,5551.0,5264.0,3000,employed,772.0,False,True,1747.0,4549.0,1,69.7,flagged_for_review,ongoing,
APP-0004,6370.0,5880.0,2000,employed,2254.0,False,True,4673.0,5222.0,2,87.1,approved,repaid,
APP-0005,3795.0,3673.0,2000,employed,836.0,False,True,2168.0,3180.0,1,66.7,flagged_for_review,defaulted,134.0
APP-0006,7239.0,7464.0,3000,employed,2631.0,False,True,2132.0,6705.0,2,81.6,approved,defaulted,160.0
APP-0007,1902.0,,5000,self_employed,1976.0,False,True,1639.0,1770.0,0,29.7,denied,repaid,
APP-0008,4966.0,,1500,self_employed,1767.0,False,False,2474.0,4946.0,0,50.5,flagged_for_review,defaulted,111.0
APP-0009,2986.0,,500,self_employed,3783.0,False,True,1610.0,2717.0,0,55.6,flagged_for_review,repaid,
APP-0010,1364.0,1262.0,1000,employed,1018.0,False,True,540.0,1114.0,2,68.7,flagged_for_review,repaid,
APP-0011,2098.0,2069.0,2000,unemployed,2880.0,False,False,1401.0,1811.0,1,47.8,denied,repaid,
APP-0012,6417.0,6221.0,300,self_employed,847.0,False,False,3355.0,5450.0,2,77.8,approved,repaid,
APP-0013,4578.0,4574.0,300,employed,2169.0,False,True,1552.0,4020.0,2,92.1,approved,repaid,
APP-0014,5100.0,,300,employed,207.0,False,True,1809.0,4918.0,0,57.8,flagged_for_review,repaid,
APP-0015,5774.0,5847.0,2000,employed,1006.0,False,True,3876.0,5024.0,1,77.0,approved,defaulted,150.0
APP-0016,2656.0,2766.0,1500,employed,1877.0,False,False,1255.0,2765.0,1,63.0,flagged_for_review,repaid,
APP-0017,4206.0,4037.0,1000,employed,4722.0,False,True,1460.0,3748.0,2,92.1,approved,repaid,
APP-0018,6191.0,,500,employed,2151.0,False,False,3603.0,5768.0,0,55.3,flagged_for_review,repaid,
APP-0019,3119.0,,2000,employed,4482.0,False,False,2316.0,2818.0,0,30.8,denied,defaulted,41.0
APP-0020,5142.0,4713.0,1000,self_employed,2330.0,False,False,2163.0,4494.0,2,79.2,approved,repaid,
APP-0021,2965.0,2797.0,1000,employed,1419.0,False,True,1235.0,2575.0,1,80.0,approved,repaid,
APP-0022,5700.0,5308.0,1500,employed,4309.0,False,True,4019.0,4774.0,2,87.6,approved,repaid,
APP-0023,4947.0,1157.0,1500,employed,2656.0,False,True,408.0,1030.0,2,63.5,flagged_for_review,defaulted,59.0
